"","early_interval","interval.ma","occurrence_no","fad","lad","accepted_name","ex","phylum","class","family","paleolat","paleolng","collection_no","reference_no"
"827","Induan",251.2,987973,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.9,22.7,118672,33700
"828","Induan",251.2,1371639,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-15.37,106.82,187280,62810
"829","Induan",251.2,962821,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-1.33,61.44,112955,36709
"830","Induan",251.2,948201,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",8.45,56.75,110606,33567
"831","Induan",251.2,948515,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",7.83,56.85,110661,33567
"832","Induan",251.2,1439896,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-14.74,106.83,200994,67174
"833","Induan",251.2,998972,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-16.79,107.38,121142,33769
"834","Induan",251.2,1424577,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",12.74,36.16,197814,67172
"835","Induan",251.2,987924,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.9,22.7,118659,33700
"836","Induan",251.2,987714,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.92,22.63,118600,33700
"837","Induan",251.2,1159797,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-10.27,105.92,149129,36523
"838","Induan",251.2,920366,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-14.42,104.3,105113,35163
"839","Induan",251.2,921363,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",28.75,-32.09,105377,27437
"840","Induan",251.2,998908,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-16.69,107.88,121130,33769
"841","Induan",251.2,987990,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.9,22.7,118678,33700
"842","Induan",251.2,1371596,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-15.87,107.54,187277,62810
"843","Induan",251.2,987561,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.93,22.62,118533,33700
"844","Induan",251.2,1319517,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",8.35,40.84,177397,56872
"845","Induan",251.2,882389,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",34.53,85.83,97861,33828
"846","Induan",251.2,854400,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",25.57,-33.79,94876,11472
"847","Induan",251.2,986189,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",7.8,56.83,118296,33703
"848","Induan",251.2,1159643,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-9.85,106.35,149112,36523
"849","Induan",251.2,860306,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-10.48,106.01,95610,29971
"850","Induan",251.2,496112,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",7.85,56.86,48963,13064
"851","Induan",251.2,860284,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-10.48,106.01,95606,29971
"852","Induan",251.2,939009,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-14.36,105.39,108564,33502
"853","Induan",251.2,820437,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",21.01,142.39,90209,30271
"854","Induan",251.2,1250103,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",12.87,36.38,165024,53993
"855","Induan",251.2,583508,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",8.29,40.41,61369,17616
"856","Induan",251.2,1172446,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-13.77,106.56,151117,36523
"857","Induan",251.2,1172427,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-13.77,106.56,151112,36523
"858","Induan",251.2,987879,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.9,22.7,118649,33700
"859","Induan",251.2,988148,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",44.09,22.81,118743,33700
"860","Induan",251.2,1521577,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",8.97,35.58,212724,73456
"861","Induan",251.2,1520704,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",54.75,22.96,212580,73424
"862","Induan",251.2,696661,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",12.91,36.27,74944,25282
"863","Induan",251.2,1371487,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-15.8,107.57,187267,62810
"864","Induan",251.2,948908,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",7.82,56.86,110689,33567
"865","Induan",251.2,962862,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-1.33,61.44,112976,36709
"866","Induan",251.2,987986,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.9,22.7,118677,33700
"867","Induan",251.2,1159883,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-10.91,105.97,149149,36523
"868","Induan",251.2,987622,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.93,22.62,118560,33700
"869","Induan",251.2,987929,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.9,22.7,118661,33700
"870","Induan",251.2,987919,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.9,22.7,118656,33700
"871","Induan",251.2,1424583,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",12.74,36.16,197819,67172
"872","Induan",251.2,987520,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.93,22.62,118523,33700
"873","Induan",251.2,954655,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-6.99,117.01,111657,36523
"874","Induan",251.2,1440085,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-14.75,106.83,201013,67174
"875","Induan",251.2,1466837,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-9.91,108.13,204875,70290
"876","Induan",251.2,859572,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-12.45,116.23,95494,11660
"877","Induan",251.2,445133,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-7.1,117.4,43790,11539
"878","Induan",251.2,987836,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.91,22.67,118630,33700
